Review,Liked
"The food was amazing and the service was excellent!",2
"Terrible experience. Food was cold and the waiter was rude.",0
"The service was okay. Nothing special but not bad either.",1
"Best pizza I've ever had! Highly recommended.",2
"Average food. It was fine but nothing memorable.",1
"Worst meal of my life. Never coming back.",0
"The ambiance was decent. Food came on time but tasted ordinary.",1
"Absolutely loved the pasta and the dessert!",2
"Staff was polite but the place felt a bit boring.",1
"Horrible service and overpriced food.",0
"It was just okay. Not great, not terrible.",1
"Fantastic experience! Will definitely come again.",2
